Transmittance,Coating Stack Number,Coating Brownian Noise [m/sqrt(Hz)],Grating Brownian Noise [m/sqrt(Hz)]
0.000001,21,1.36E-021,1.15E-022
0.0000022,20,1.33E-021,1.15E-022
0.0000043,19,1.30E-021,1.15E-022
0.0000089,18,1.27E-021,1.15E-022
0.000017,17,1.24E-021,1.15E-022
0.000036,16,1.20E-021,1.15E-022
0.000075,15,1.16E-021,1.15E-022
0.00015,14,1.13E-021,1.15E-022
0.0003,13,1.09E-021,1.15E-022
0.0006,12,1.05E-021,1.15E-022
0.0012,11,1.01E-021,1.15E-022
0.0023,10,9.70E-022,1.15E-022
0.005,9,9.20E-022,1.15E-022
0.011,8,8.75E-022,1.15E-022
0.021,7,8.30E-022,1.15E-022
0.045,6,7.80E-022,1.15E-022
0.085,5,7.25E-022,1.15E-022
0.17,4,6.70E-022,1.15E-022
0.3,3,6.00E-022,1.15E-022
0.55,2,5.25E-022,1.15E-022
0.8,1,4.40E-022,1.15E-022
