0.1,0.99992,-0.71997
0.11498,0.9999,-0.82778
0.13219,0.99986,-0.95173
0.15199,0.99982,-1.0942
0.17475,0.99976,-1.2581
0.20092,0.99969,-1.4464
0.23101,0.99959,-1.6629
0.26561,0.99946,-1.9118
0.30539,0.99928,-2.198
0.35112,0.99905,-2.5268
0.4037,0.99875,-2.9047
0.46416,0.99835,-3.339
0.53367,0.99782,-3.838
0.61359,0.99712,-4.4112
0.70548,0.9962,-5.0693
0.81113,0.99499,-5.8247
0.9326,0.99339,-6.6913
1.0723,0.99128,-7.6847
1.2328,0.98851,-8.8224
1.4175,0.98487,-10.124
1.6298,0.98011,-11.61
1.8738,0.97389,-13.303
2.1544,0.9658,-15.228
2.4771,0.95534,-17.406
2.848,0.94189,-19.861
3.2745,0.92476,-22.609
3.7649,0.90315,-25.661
4.3288,0.87626,-29.015
4.977,0.84338,-32.653
5.7224,0.80397,-36.533
6.5793,0.75788,-40.583
7.5646,0.7055,-44.698
8.6975,0.64787,-48.742
10,0.5867,-52.548
11.498,0.52416,-55.934
13.219,0.46266,-58.715
15.199,0.40443,-60.728
17.475,0.35125,-61.846
20.092,0.30425,-61.999
23.101,0.26391,-61.174
26.561,0.23014,-59.427
30.539,0.20247,-56.868
35.112,0.18018,-53.651
40.37,0.16247,-49.955
46.416,0.14855,-45.966
53.367,0.13772,-41.857
61.359,0.12933,-37.774
70.548,0.12288,-33.833
81.113,0.11794,-30.115
93.26,0.11416,-26.67
107.23,0.11129,-23.523
123.28,0.1091,-20.682
141.75,0.10743,-18.139
162.98,0.10617,-15.877
187.38,0.10521,-13.877
215.44,0.10449,-12.115
247.71,0.10394,-10.568
284.8,0.10352,-9.2124
327.45,0.10321,-8.0269
376.49,0.10297,-6.9917
432.88,0.10279,-6.0887
497.7,0.10265,-5.3016
572.24,0.10255,-4.6162
657.93,0.10247,-4.0195
756.46,0.10241,-3.5005
869.75,0.10236,-3.0493
1000,0.10233,-2.6572
1149.8,0.10231,-2.3167
1321.9,0.10229,-2.0212
1519.9,0.10227,-1.7651
1747.5,0.10226,-1.5433
2009.2,0.10225,-1.3516
2310.1,0.10225,-1.1862
2656.1,0.10224,-1.044
3053.9,0.10224,-0.92207
3511.2,0.10223,-0.81814
4037,0.10223,-0.73017
4641.6,0.10223,-0.65644
5336.7,0.10223,-0.59551
6135.9,0.10223,-0.54619
7054.8,0.10223,-0.50753
8111.3,0.10223,-0.47877
9326,0.10223,-0.45934
10723,0.10223,-0.44888
12328,0.10223,-0.44717
14175,0.10223,-0.45418
16298,0.10223,-0.47006
18738,0.10223,-0.4951
21544,0.10223,-0.5298
24771,0.10223,-0.57483
28480,0.10223,-0.63108
32745,0.10223,-0.69964
37649,0.10223,-0.78184
43288,0.10223,-0.87931
49770,0.10223,-0.99392
57224,0.10223,-1.1279
65793,0.10224,-1.284
75646,0.10224,-1.465
86975,0.10225,-1.6747
1e+05,0.10225,-1.9171
